"","OR","p.value","adj.P.Val","setSize","numSig","ID","sigGenes"
"Epilepsies, Myoclonic",5.25574712643678,2.75997160503035e-08,2.55297373465307e-05,111,12,"MESH:D004831","SERPINE2;MTHFD2;MAPK3;JUN;HMGCS1;BDNF;ACHE;GRIN2B;GAD1;TAC1;PVALB;PRKACB"
"Congenital Abnormalities",1.75376853120718,3.43971426585812e-08,3.1782959816529e-05,4416,165,"MESH:D000013","MAGI3;KLHL13;PCDH17;KCNC1;ELFN1;SLC27A2;FAT1;ANXA5;IFRD1;DUSP5;TGFB3;SERPINE2;TCF4;RHOB;SFRP2;FAM129A;RBP4;XDH;APP;LPL;CXCR4;TIMP3;TGFBR2;IGFBP4;MTHFD2;LGALS1;EIF2AK3;GFRA1;NRG1;CLDN1;DUSP10;ERBB4;WT1;NREP;NTRK2;CD47;HTRA1;NUDT4;LAMB1;ABCA1;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;ACHE;ACE;AGTR1;DOK4;VGF;GRIA1;CNR1;FOSB;GAD1;TAC1;RELN;HTR2C;GRIA3;EFNB3;NPTX2;SNAP25;PRMT2;HIVEP1;CARS;GNG4;ABAT;PTN;RASGRP1;NRN1;GUCY1A3;IQGAP2;CIT;PAK3;FRZB;DDAH1;PRSS23;ENAH;ETV5;SPARCL1;SCPEP1;GPCPD1;PEA15;SMARCA2;CAMK2G;PSME1;CYFIP2;GBE1;TUBB2B;SLC4A8;MOXD1;RAB27B;KRT80;NUP62CL;ARHGAP26;ZEB2;MAP4;ETS1;IFIT3;LRP1;PTPRE;PC;PTPRD;ZWINT;PFKP;MATN2;CLIC4;EFHD2;SYNJ2;LRIG1;FAM65B;GDF10;ADCY1;STAMBPL1;SYT1;RGS17;GPM6A;GNB4;BTBD11;SLC7A1;IRF6;L1CAM;ADARB1;SPRY4;CORIN;OXR1;LAPTM4B;ZNRF1;TMEM106B;CALN1;SCN3B;SDC3;SLC24A3;TMTC1;USP25;UBASH3B;HAP1;SNX6;KLF12;MFAP3L;NECAB1;C1QTNF4;FAM84B;PYGO1;THSD4;TYRO3;PNOC;KCNK2;CPNE4;PCDH19;SLC44A5;THSD7A;AKAP5;IRGQ;GXYLT2;ZCCHC12;TMEM229B"
"Schizophrenia, Paranoid",12.977199354318,3.49794799617619e-08,3.22860600047063e-05,25,5,"MESH:D012563","HMGCS1;BDNF;GAD1;HTR2C;DPYSL2"
"Brain Ischemia",2.4753918128655,3.72764867800899e-08,3.43689208112429e-05,790,43,"MESH:D002545","ANXA5;TGFB3;SERPINE2;XDH;APP;LPL;CXCR4;TIMP3;TGFBR2;IGFBP4;LGALS1;GFRA1;CLDN1;NTRK2;CALB1;ABCA1;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;HMGCS1;RGS2;FOSL2;BDNF;ACHE;ACE;AGTR1;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;PDYN;DPYSL2;PTN;MAP4;HSD17B12"
"Lung Diseases",1.75068835930234,4.40817522779309e-08,4.05992938479743e-05,4566,161,"MESH:D008171","ATP13A3;ANKRD29;FRAS1;SEMA7A;PCDH17;CHL1;KCNC1;SLC27A2;FAT1;ANXA5;IFRD1;DUSP5;TGFB3;SERPINE2;TCF4;RHOB;SFRP2;FAM129A;RBP4;XDH;APP;LPL;CXCR4;TIMP3;TGFBR2;IGFBP4;MTHFD2;LGALS1;EIF2AK3;GFRA1;NRG1;CLDN1;DUSP10;ERBB4;WT1;NREP;ARHGAP5;NEFH;NTRK2;CD47;HTRA1;NUDT4;LAMB1;CALB1;ABCA1;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;ACHE;ACE;AGTR1;DOK4;VGF;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;RELN;HTR2C;PDYN;GRIA3;NPTX2;SNAP25;PRMT2;GNG4;DPYSL2;ABAT;PTN;NRN1;GUCY1A3;ROBO1;HLF;PAK3;FRZB;DDAH1;PRSS23;ENAH;ETV5;SPARCL1;CAMK2G;PSME1;GPT2;CYFIP2;GBE1;SPRY2;TUBB2B;PDZD2;SLC4A8;RAB27B;KRT80;ZEB2;TUBB2A;MAP4;ETS1;IFIT3;LRP1;PTPRE;MEF2C;PC;ZWINT;MATN2;CLIC4;EFHD2;NR4A3;SYNJ2;LRIG1;HSD17B12;GDF10;SYT1;ELMO1;RGS17;GPM6A;BTBD11;IRF6;ST3GAL6;ALPK2;SPRY4;TCP11L2;HIP1;OXR1;SCN3B;UBASH3B;NTRK3;HR;HAP1;KLF12;MFAP3L;CRHR2;PTPRU;FURIN;PAQR8;TRPC6;FAM84B;GPR176;TYRO3;ATP1A3;HDAC9;LYPD6;ST6GALNAC5;CPNE4;PCDH8;ALK;STMN2;NOS1AP;PCDH1;NMBR;DISP2;FAT3"
"Immune System Diseases",1.83653716897432,4.49448540040114e-08,4.13492656836905e-05,2935,117,"MESH:D007154","WDR6;STMN3;SLC27A2;FAT1;ANXA5;IFRD1;DUSP5;TGFB3;SERPINE2;TCF4;RHOB;SFRP2;RBP4;XDH;APP;LPL;CXCR4;TIMP3;TGFBR2;IGFBP4;MTHFD2;LGALS1;EIF2AK3;GFRA1;NRG1;CLDN1;DUSP10;ERBB4;NREP;ARHGAP5;NEFH;NTRK2;CD47;HTRA1;LAMB1;ABCA1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;ACHE;AGTR1;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;RELN;CARS;ABAT;RASGRP1;NRN1;EIF4G2;ROBO1;CIT;PAK3;FRZB;DDAH1;PRSS23;ETV5;SPARCL1;ADCY2;GPCPD1;PEA15;SMARCA2;PSME1;GPT2;GBE1;TUBB2B;CREB3;MOXD1;KRT80;ARHGAP26;TUBB2A;MAP4;ETS1;IFIT3;LRP1;MEF2C;PC;PTPRD;ZWINT;PFKP;MATN2;CLIC4;NR4A3;GDF10;ELMO1;RGS17;RNF144B;GNB4;SPRY4;ADCYAP1R1;TCP11L2;HIP1;GFPT2;USP25;PEG3;ASAP1;SNX6;KLF12;GNAL;LURAP1L;C1QTNF4;GABBR2;CPNE4;KCNJ6"
"Central Nervous System Diseases",2.30525528208335,4.69131076950617e-08,4.31131459717617e-05,957,51,"MESH:D002493","SLC27A2;ANXA5;IFRD1;SERPINE2;XDH;APP;LPL;TIMP3;IGFBP4;MTHFD2;EIF2AK3;GFRA1;DUSP10;NREP;NEFH;NTRK2;CD47;NUDT4;ABCA1;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;ACHE;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;RELN;PDYN;GRIA3;EFNB3;GNG4;ABAT;GUCY1A3;GPT2;USP25;GABBR2;KCNJ6"
"Growth Disorders",2.03713697017268,4.71971563670255e-08,4.33269895449294e-05,1666,75,"MESH:D006130","SLC27A2;ANXA5;TCF4;RHOB;XDH;APP;LPL;CXCR4;TIMP3;TGFBR2;IGFBP4;MTHFD2;LGALS1;GFRA1;NRG1;ARHGAP5;NEFH;NTRK2;CALB1;ABCA1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;ACHE;AGTR1;CARTPT;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;HTR2C;PVALB;PDYN;HIVEP1;PTN;RASGRP1;NRN1;PRSS23;SPARCL1;CAMK2G;TUBB2B;MOXD1;ZEB2;PTPRD;EFHD2;GDF10;SLC7A1;ADARB1;KLF12;DTNA;MFAP3L;GNAL;CRHR2;NECAB1;OPCML;C1QTNF4;MAP6;GABBR2;PCSK1N;SLC35F3;FAT3;ZNF274;CA7"
"Weight Gain",1.72325653525898,5.15441646002061e-08,4.7265998938389e-05,7051,234,"MESH:D015430","DPY19L3;ATP13A3;SNX14;WDR6;NRSN1;FRAS1;SEMA7A;LONRF1;OLFM3;DCHS1;NDNF;PCDH17;CHL1;GALNT16;NETO1;CHGB;POU3F3;SLC27A2;FAT1;ANXA5;IFRD1;DUSP5;TGFB3;SERPINE2;TCF4;RHOB;SFRP2;FAM129A;RBP4;XDH;APP;LPL;CXCR4;TIMP3;TGFBR2;IGFBP4;MTHFD2;LGALS1;EIF2AK3;GFRA1;NRG1;CLDN1;DUSP10;ERBB4;WT1;NREP;ARHGAP5;NEFH;NTRK2;CD47;HTRA1;NUDT4;LAMB1;CALB1;ABCA1;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;ACHE;ACE;AGTR1;DOK4;VGF;CARTPT;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;RELN;HTR2C;PVALB;PDYN;GRIA3;EFNB3;NPTX2;SNAP25;PHKA2;HIVEP1;GNG4;DPYSL2;ABAT;PTN;RASGRP1;NRN1;GUCY1A3;PRKACB;ADCYAP1;EIF4G2;ROBO1;IQGAP2;HLF;CIT;PAK3;FRZB;DDAH1;PRSS23;ENAH;ETV5;SPARCL1;SCPEP1;ADCY2;GPCPD1;MCC;SMARCA2;CAMK2G;PSME1;GPT2;CYFIP2;GBE1;RAB3B;TUBB2B;PDZD2;SLC4A8;CREB3;MOXD1;RAB27B;KRT80;NUP62CL;ARHGAP26;ZEB2;TUBB2A;MAP4;ETS1;IFIT3;LRP1;PTPRE;MEF2C;PC;PTPRD;ZWINT;PFKP;MATN2;CLIC4;EFHD2;NR4A3;SYNJ2;LRIG1;FAM65B;HSD17B12;GDF10;ADCY1;STAMBPL1;SYT1;ELMO1;RGS17;NETO2;GPM6A;RNF144B;BCR;THBS2;GNB4;BTBD11;IRF6;ST3GAL6;ALPK2;L1CAM;ADARB1;SPRY4;ADCYAP1R1;TCP11L2;SYNGR3;FAM84A;HIP1;ILDR2;OXR1;LAPTM4B;ZNRF1;NEK7;TMTC4;RSPO3;TMEM106B;GFPT2;CALN1;SCN3B;CHRNA6;SDC3;SLC24A3;TMTC1;UBASH3B;AP2B1;NTRK3;HR;PEG3;KLF12;DTNA;MFAP3L;CRHR2;NECAB1;C1QTNF4;MAP6;GABBR2;GRIA4;PAQR8;TRPC6;FAM84B;PYGO1;THSD4;GPR176;TYRO3;PNOC;KCNK2;VWA5A;LYPD6;ADRA1D;KCNJ4;ST6GALNAC5;CPNE4;PCDH8;PCDH19;SLIT1;STMN2;TTYH1;KCNIP3;KCNJ6;DLGAP2;GXYLT2;PCDH20;PHYHIPL;TMEM132D;CNTNAP2;GPR83"
"Diabetes Mellitus, Type 2",2.31415935939593,5.32844575867246e-08,4.88085631494397e-05,994,50,"MESH:D003924","SLC27A2;FAT1;ANXA5;TGFB3;SERPINE2;FAM129A;RBP4;XDH;APP;LPL;CXCR4;TIMP3;TGFBR2;IGFBP4;LGALS1;EIF2AK3;GFRA1;NRG1;CLDN1;DUSP10;NREP;LAMB1;ABCA1;ATF3;SPP1;MAPK9;GPX3;MAPK3;JUN;ASNS;HMGCS1;RGS2;BDNF;ACHE;ACE;AGTR1;SNAP25;PRSS23;SCPEP1;RAB27B;KRT80;ZEB2;MAP4;PC;ZWINT;HSD17B12;GDF10;GFPT2;HR;DLGAP2"
"Nausea",1.84152701363207,6.60882249561574e-08,6.0470725834884e-05,2746,111,"MESH:D009325","SLC27A2;FAT1;ANXA5;IFRD1;DUSP5;TGFB3;SERPINE2;TCF4;RHOB;SFRP2;FAM129A;RBP4;XDH;APP;LPL;CXCR4;TIMP3;TGFBR2;IGFBP4;MTHFD2;LGALS1;EIF2AK3;GFRA1;NRG1;CLDN1;DUSP10;ERBB4;WT1;NREP;ARHGAP5;NEFH;NTRK2;CD47;HTRA1;NUDT4;LAMB1;CALB1;ABCA1;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;ACHE;ACE;AGTR1;VGF;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;RELN;HTR2C;PVALB;PDYN;OPRD1;GRIA3;EFNB3;NPTX2;SNAP25;PHKA2;CARS;DPYSL2;ABAT;PTN;RASGRP1;NRN1;PRKACB;ADCYAP1;DDAH1;SCPEP1;GPT2;TUBB2B;TUBB2A;MAP4;ETS1;PTPRE;MEF2C;PC;PTPRD;PFKP;MATN2;CLIC4;EFHD2;SYNJ2;GDF10;SYT1;ELMO1;RGS17;NETO2;GPM6A;THBS2;ST3GAL6;L1CAM;AP2B1;HDAC9;GPR137C;ADRA1D;ABCA8;KCNJ6"
"Heart Arrest",3.19329359479327,6.93799765725758e-08,6.34132985873343e-05,346,24,"MESH:D006323","APP;LPL;EIF2AK3;LAMB1;PTGS1;BCL2L11;SPP1;MAPK9;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;ACHE;ACE;FOSB;GAD1;TAC1;HTR2C;PVALB;PDYN;ADRA1D"
"Amnesia",3.25895597625182,7.54117578108181e-08,6.8850934881277e-05,323,23,"MESH:D000647","TGFB3;APP;LPL;TGFBR2;NEFH;NTRK2;CALB1;MAPK9;MAPK3;JUN;HMGCS1;RGS2;BDNF;ACHE;ACE;GRIN2B;CNR1;FOSB;GAD1;TAC1;HTR2C;PVALB;PDYN"
"Pancreatic Neoplasms",1.8149804482636,8.28065913970417e-08,7.5519611354102e-05,2959,117,"MESH:D010190","SLC27A2;FAT1;ANXA5;IFRD1;DUSP5;SERPINE2;TCF4;RHOB;SFRP2;FAM129A;RBP4;XDH;APP;LPL;CXCR4;TIMP3;TGFBR2;IGFBP4;MTHFD2;LGALS1;EIF2AK3;GFRA1;NRG1;CLDN1;DUSP10;ERBB4;WT1;NREP;ARHGAP5;NEFH;NTRK2;HTRA1;NUDT4;LAMB1;CALB1;ABCA1;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;ACHE;ACE;AGTR1;VGF;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;RELN;GRIA3;EFNB3;DPYSL2;ABAT;RASGRP1;NRN1;PRKACB;ADCYAP1;EIF4G2;ROBO1;IQGAP2;PAK3;FRZB;PRSS23;ENAH;ETV5;SCPEP1;SMARCA2;CYFIP2;TUBB2B;RAB27B;KRT80;TUBB2A;MAP4;ETS1;IFIT3;LRP1;PTPRE;PC;PTPRD;PFKP;MATN2;CLIC4;SYNJ2;LRIG1;FAM65B;GDF10;SYT1;NETO2;GPM6A;BCR;THBS2;BTBD11;ST3GAL6;ALPK2;L1CAM;SYNGR3;GFPT2;COL16A1;USP25;AP2B1;GRIA4;PCSK1;SLIT1;SLC44A5;VAT1L"
"Glucose Intolerance",1.73332778892435,9.00064162561927e-08,8.19958452093915e-05,4313,157,"MESH:D018149","TTC39B;ANKRD29;KCNC1;SLC27A2;FAT1;ANXA5;IFRD1;DUSP5;TGFB3;SERPINE2;TCF4;RHOB;SFRP2;RBP4;XDH;APP;LPL;CXCR4;TIMP3;TGFBR2;IGFBP4;MTHFD2;LGALS1;EIF2AK3;GFRA1;NRG1;CLDN1;DUSP10;ERBB4;WT1;NREP;ARHGAP5;NEFH;NTRK2;CD47;NUDT4;LAMB1;CALB1;ABCA1;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;ACHE;ACE;AGTR1;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;RELN;GRIA3;NPTX2;ABAT;RASGRP1;NRN1;PRKACB;EIF4G2;ROBO1;IQGAP2;HLF;CIT;PAK3;FRZB;DDAH1;PRSS23;ENAH;ETV5;SPARCL1;SCPEP1;ADCY2;GPCPD1;MCC;SMARCA2;CAMK2G;PSME1;GPT2;CYFIP2;TUBB2B;PDZD2;RAB27B;NUP62CL;ARHGAP26;ZEB2;TUBB2A;MAP4;ETS1;IFIT3;LRP1;PTPRE;MEF2C;PC;PTPRD;ZWINT;MATN2;CLIC4;SYNJ2;LRIG1;FAM65B;HSD17B12;GDF10;ADCY1;STAMBPL1;SYT1;ELMO1;RGS17;RNF144B;BCR;THBS2;GNB4;SLC7A1;IRF6;ST3GAL6;ALPK2;L1CAM;SPRY4;ADCYAP1R1;ILDR2;TMTC4;TMEM106B;SCN3B;SLC24A3;TMTC1;USP25;UBASH3B;PEG3;KLF12;DTNA;MFAP3L;GNAL;CRHR2;PTPRU;GRIA4;TRPC6;THSD4;KCNK2;SLC6A1;CPNE4;PCDH19;STMN2;THSD7A;MTRR;CACNG8;SV2C;TMEM132C"
"Nervous System Diseases",1.70486870331869,9.06923107251792e-08,8.25300027599131e-05,5393,192,"MESH:D009422","STMN3;ASTN1;GALNT16;CHGB;SLC27A2;FAT1;ANXA5;IFRD1;DUSP5;TGFB3;SERPINE2;TCF4;RHOB;SFRP2;FAM129A;RBP4;XDH;APP;LPL;CXCR4;TIMP3;TGFBR2;IGFBP4;MTHFD2;LGALS1;EIF2AK3;GFRA1;NRG1;CLDN1;DUSP10;ERBB4;WT1;NREP;ARHGAP5;NEFH;NTRK2;CD47;HTRA1;NUDT4;LAMB1;CALB1;ABCA1;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;ACHE;ACE;AGTR1;DOK4;VGF;CARTPT;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;RELN;HTR2C;PVALB;PDYN;OPRD1;GRIA3;EFNB3;NPTX2;SNAP25;PHKA2;PRMT2;HIVEP1;CARS;GNG4;DPYSL2;ABAT;PTN;RASGRP1;NRN1;GUCY1A3;PRKACB;ADCYAP1;EIF4G2;ROBO1;HLF;CIT;FRZB;DDAH1;PRSS23;ENAH;ETV5;SPARCL1;SCPEP1;ADCY2;PEA15;SMARCA2;PSME1;GPT2;CYFIP2;GBE1;SPRY2;TUBB2B;PDZD2;CREB3;RAB27B;KRT80;ARHGAP26;ZEB2;TUBB2A;MAP4;ETS1;IFIT3;LRP1;PTPRE;MEF2C;PC;PTPRD;ZWINT;PFKP;MATN2;CLIC4;EFHD2;NR4A3;SYNJ2;LRIG1;FAM65B;GDF10;ADCY1;STAMBPL1;SYT1;ELMO1;RGS17;NETO2;RNF144B;BCR;THBS2;IRF6;ST3GAL6;ALPK2;L1CAM;SPRY4;LAPTM4B;ZNRF1;RSPO3;TMEM106B;SCN3B;SDC3;SLC24A3;USP25;NTRK3;CLSTN1;ASAP1;KLF12;DTNA;MFAP3L;GNAL;GABBR2;GRIA4;PAQR8;GPR176;TYRO3;PNOC;ATP1A3;KCNK2;VWA5A;HDAC9;GPR137C;CREG2;SLC6A1;ADRA1D;SYT11;PCSK1N;ABCA8;PCSK1;CPNE4;PCDH8;SLIT1;MAN2A2;MTRR;KCNIP3;KCNJ6;LRRN2;ZCCHC12;TNR"
"Compartment Syndromes",8.10453275660088,9.10378696602581e-08,8.27534235211746e-05,43,7,"MESH:D003161","TGFBR2;SPP1;MAPK3;JUN;FOSL2;BDNF;FOSB"
"Respiratory Distress Syndrome, Adult",3.25591563786008,1.4949991822926e-07,0.000135745925752168,309,22,"MESH:D012128","XDH;APP;CXCR4;TIMP3;TGFBR2;EIF2AK3;ERBB4;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;ATF4;MAPK3;JUN;FOSL2;BDNF;ACHE;CNR1;FOSB;GAD1;KCNA4"
"Intracranial Hemorrhages",2.35736255286428,1.53666997579151e-07,0.00013937596680429,771,44,"MESH:D020300","SERPINE2;TCF4;XDH;LPL;CXCR4;GFRA1;NRG1;NTRK2;LAMB1;PTGS1;BCL2L11;ATF3;GPX3;ATF4;MAPK3;JUN;HMGCS1;RGS2;FOSL2;BDNF;ACHE;GRIN2B;CNR1;FOSB;GAD1;TAC1;PDYN;GRIA3;EFNB3;GNG4;DPYSL2;PTN;ENAH;ADCY2;CAMK2G;TUBB2B;SLC4A8;CREB3;CLIC4;EFHD2;NETO2;GNB4;ST3GAL6;GABBR2"
"Stomach Ulcer",2.68945562209811,1.58459451575281e-07,0.000143564263127204,533,32,"MESH:D013276","IFRD1;XDH;APP;LPL;CXCR4;TIMP3;EIF2AK3;NRG1;WT1;ABCA1;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;ACHE;ACE;AGTR1;VGF;CNR1;FOSB;GAD1;TAC1"
"Venous Thrombosis",2.21518505999662,1.63785000917187e-07,0.000148225425830054,1050,52,"MESH:D020246","ANXA5;DUSP5;TGFB3;SERPINE2;TCF4;RHOB;SFRP2;XDH;APP;LPL;CXCR4;TIMP3;TGFBR2;IGFBP4;MTHFD2;LGALS1;GFRA1;NRG1;ERBB4;NREP;CALB1;PTGS1;BCL2L11;ATF3;SPP1;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;VGF;GAD1;RELN;HTR2C;EFNB3;NPTX2;RASGRP1;PRKACB;TUBB2B;MATN2;SYNJ2;LRIG1;FAM65B;GDF10;GNB4;PAQR8;TYRO3;SLIT1"
"Developmental Disabilities",3.02702962216141,1.66961400387805e-07,0.000150933105950575,342,25,"MESH:D002658","ANXA5;APP;LPL;NTRK2;CD47;ATF3;SPP1;MAPK3;JUN;ASNS;HMGCS1;RGS2;BDNF;ACHE;GRIN2B;FOSB;GAD1;TAC1;OPRD1;GRIA3;ABAT;NRN1;TUBB2B;GDF10;GNB4"
"Craniofacial Abnormalities",1.90226789058921,1.81270759677863e-07,0.00016368749598911,1980,87,"MESH:D019465","UFD1L;DCAF7;FAM49A;SLC27A2;FAT1;ANXA5;IFRD1;TGFB3;SERPINE2;TCF4;RHOB;RBP4;XDH;APP;LPL;CXCR4;TIMP3;TGFBR2;IGFBP4;MTHFD2;EIF2AK3;GFRA1;DUSP10;WT1;NEFH;NTRK2;CD47;CALB1;ABCA1;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;ACHE;GRIN2B;FOSB;GAD1;RELN;EFNB3;CARS;GNG4;DPYSL2;ABAT;GUCY1A3;ENAH;ETV5;SCPEP1;CAMK2G;SPRY2;TUBB2B;CREB3;MOXD1;ZEB2;MAP4;ETS1;IFIT3;PTPRD;EFHD2;SYNJ2;ADCY1;ELMO1;RGS17;BCR;THBS2;GNB4;IRF6;ADARB1;ILDR2;RSPO3;TMEM106B;PEG3;MFAP3L;C1QTNF4;TYRO3;ST6GALNAC5;TLL1;LRRTM2"
"Mental Disorders",1.91585503691412,1.9317663764655e-07,0.000174245327157188,1938,84,"MESH:D001523","DPY19L3;SLC27A2;FAT1;ANXA5;IFRD1;TGFB3;SERPINE2;TCF4;RHOB;XDH;APP;LPL;CXCR4;TIMP3;TGFBR2;MTHFD2;EIF2AK3;GFRA1;NRG1;DUSP10;NREP;ARHGAP5;NEFH;NTRK2;CD47;HTRA1;NUDT4;ABCA1;PTGS1;BCL2L11;ATF3;SPP1;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;ACHE;VGF;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;RELN;HTR2C;PVALB;PDYN;GRIA3;NPTX2;SNAP25;PHKA2;PRMT2;HIVEP1;ABAT;PTN;RASGRP1;GUCY1A3;PRKACB;DDAH1;GBE1;ARHGAP26;TUBB2A;PC;CLIC4;ST3GAL6;MAPK6;AP2B1;GABBR2;TRPC6;ATP1A3;GPR137C;LYPD6;CREG2;SLC6A1;SYT11;KIRREL3;KCNJ6;GPR83"
"Atrioventricular Block",2.70727704448635,2.01097297114387e-07,0.000181188664700063,507,31,"MESH:D054537","APP;CXCR4;EIF2AK3;NEFH;NTRK2;ABCA1;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;ACHE;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;HTR2C;PDYN;GRIA3;DPYSL2;MEF2C"
"Akinetic Mutism",15.5398550724638,2.37083735537708e-07,0.000213375361983937,16,4,"MESH:D000405","ATF3;MAPK3;BDNF;GAD1"
"Mydriasis",8.91400832177531,2.83476352924128e-07,0.000254845241278791,32,6,"MESH:D015878","MAPK3;JUN;BDNF;CNR1;FOSB;TAC1"
"Neonatal Abstinence Syndrome",7.54442486785804,2.84477420104893e-07,0.000255460723254193,42,7,"MESH:D009357","NEFH;MAPK3;HMGCS1;BDNF;GAD1;PDYN;OPRD1"
"Long QT Syndrome",3.31946189279732,3.55500013629611e-07,0.000318883512225761,276,20,"MESH:D008133","APP;LPL;ABCA1;BCL2L11;SPP1;GPX3;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;ACHE;GRIA1;FOSB;GAD1;TAC1;HTR2C;KCNJ6"
"Motor Skills Disorders",2.51741126478438,3.59974177968491e-07,0.000322536863459768,551,35,"MESH:D019957","XDH;CXCR4;IGFBP4;NEFH;NTRK2;CD47;MAPK9;MAPK3;JUN;HMGCS1;RGS2;BDNF;ACHE;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;HTR2C;GRIA3;NPTX2;SNAP25;GUCY1A3;DDAH1;SPARCL1;NETO2;SCN3B;AP2B1;MAP6;GABBR2;HDAC9;SLC6A1;SYT11;AKAP5"
"Amyotrophic Lateral Sclerosis",5.32402791625125,3.98309421133121e-07,0.000356486931914143,80,10,"MESH:D000690","CAMK1G;DPP6;APP;ATF3;MAPK9;MAPK3;JUN;BDNF;GRIN2B;SLC6A1"
"Dysarthria",3.50944785276074,4.10610884699035e-07,0.000367086130920937,238,18,"MESH:D004401","APP;TGFBR2;EIF2AK3;ABCA1;PTGS1;ATF3;MAPK9;MAPK3;JUN;ASNS;RGS2;FOSL2;BDNF;ACHE;FOSB;GAD1;TAC1;HTR2C"
"Headache",1.83732210152959,4.33769573659963e-07,0.000387356229278347,2248,93,"MESH:D006261","SLC27A2;FAT1;ANXA5;IFRD1;DUSP5;TGFB3;TCF4;RHOB;SFRP2;XDH;APP;LPL;CXCR4;TIMP3;TGFBR2;IGFBP4;MTHFD2;LGALS1;EIF2AK3;GFRA1;NRG1;DUSP10;ERBB4;WT1;NREP;NEFH;NTRK2;CD47;HTRA1;NUDT4;LAMB1;CALB1;ABCA1;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;ACHE;ACE;AGTR1;DOK4;VGF;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;RELN;HTR2C;PDYN;OPRD1;GRIA3;EFNB3;SNAP25;PHKA2;CARS;GNG4;DPYSL2;ABAT;NRN1;PRKACB;ADCYAP1;PEA15;TUBB2B;ARHGAP26;MAP4;ETS1;PTPRE;MEF2C;PFKP;CLIC4;NR4A3;ELMO1;NETO2;ATP1A3;KCNK2;GPR137C;LYPD6;CREG2;ADRA1D;SLIT1;KCNJ6"
